VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
313, 8, 549259, 2, 4
314, 9, 788046, 2, 2
315, 9, 547235, 2, 4
316, 9, 581239, 2, 4
317, 8, 498955, 2, 4
318, 9, 803185, 2, 2
319, 9, 494546, 2, 4
320, 9, 469489, 2, 4
321, 8, 363861, 2, 4
322, 9, 728765, 2, 2
323, 9, 594784, 2, 4
324, 9, 506369, 2, 4
325, 8, 458999, 2, 4
326, 9, 774671, 2, 2
327, 9, 600305, 2, 4
328, 9, 644848, 2, 4
329, 8, 529001, 2, 4
375, 9, 608460, 2, 2
376, 9, 458610, 2, 4
377, 9, 470842, 2, 4
378, 9, 618489, 2, 2
379, 9, 428843, 2, 4
380, 9, 476884, 2, 4
381, 9, 658674, 2, 2
382, 9, 579836, 2, 4
383, 9, 756387, 2, 4
384, 9, 704410, 2, 2
385, 9, 397725, 2, 4
386, 9, 430717, 2, 4
387, 9, 605574, 2, 2
388, 9, 462877, 2, 4
389, 9, 710390, 2, 4
390, 9, 805859, 2, 2
391, 9, 434955, 2, 4
392, 9, 408976, 2, 4
393, 9, 713146, 2, 2
394, 9, 704620, 2, 4
395, 9, 558727, 2, 4
396, 9, 639027, 2, 2
397, 9, 419005, 2, 4
398, 9, 374622, 2, 4
399, 9, 673562, 2, 2
400, 9, 564197, 2, 4
401, 9, 419807, 2, 4
402, 9, 705803, 2, 2
403, 9, 442509, 2, 4
404, 9, 406141, 2, 4
405, 9, 861263, 2, 2
