VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
1076, 6, 326965, 1, 2
1077, 6, 164860, 1, 2
1078, 6, 165522, 1, 3
1079, 6, 138540, 1, 3
1080, 6, 275488, 1, 1
1081, 6, 169779, 1, 2
1082, 6, 161083, 1, 2
1083, 6, 148700, 1, 3
1084, 6, 120477, 1, 3
1085, 6, 304152, 1, 1
1086, 6, 340861, 1, 2
1087, 6, 198463, 1, 2
1088, 6, 181362, 1, 3
1089, 6, 147698, 1, 3
1090, 6, 291699, 1, 1
1091, 6, 171693, 1, 2
1092, 6, 149972, 1, 2
1093, 6, 156645, 1, 3
1094, 6, 134393, 1, 3
1095, 6, 260270, 1, 1
1096, 6, 161834, 1, 2
1097, 6, 156494, 1, 2
1098, 6, 180269, 1, 3
1099, 6, 140234, 1, 3
1100, 6, 321725, 1, 1
1101, 6, 213391, 1, 2
1102, 6, 192543, 1, 2
1103, 6, 243327, 1, 3
1104, 6, 260300, 1, 3
1105, 6, 276780, 1, 1
1106, 6, 180139, 1, 2
1107, 6, 156124, 1, 2
1108, 6, 170892, 1, 3
1109, 6, 154190, 1, 3
1155, 6, 156284, 1, 1
1156, 6, 133571, 1, 2
1157, 4, 160231, 1, 2
1158, 6, 175460, 1, 1
1159, 6, 141235, 1, 2
1160, 4, 117831, 1, 2
1161, 6, 159210, 1, 1
1162, 6, 131718, 1, 2
1163, 4, 289595, 1, 2
1164, 6, 198103, 1, 1
1165, 6, 146245, 1, 2
1166, 4, 119344, 1, 2
1167, 6, 212520, 1, 1
1168, 6, 144091, 1, 2
1169, 4, 138009, 1, 2
1170, 6, 201590, 1, 1
1171, 6, 166372, 1, 2
1172, 4, 132299, 1, 2
1173, 6, 327666, 1, 1
1174, 6, 244449, 1, 2
1175, 4, 186551, 1, 2
1176, 6, 380044, 1, 1
1177, 6, 197902, 1, 2
1178, 4, 145934, 1, 2
1179, 6, 220595, 1, 1
1180, 6, 183855, 1, 2
1181, 4, 135164, 1, 2
1182, 6, 203322, 1, 1
1183, 6, 152326, 1, 2
1184, 4, 123222, 1, 2
1185, 6, 218271, 1, 1
1186, 6, 153499, 1, 2
1187, 4, 128612, 1, 2
1188, 6, 231735, 1, 1
1189, 6, 161333, 1, 2
1190, 4, 122781, 1, 2
1191, 6, 187162, 1, 1
1192, 6, 147858, 1, 2
1193, 4, 125195, 1, 2
1194, 6, 189807, 1, 1
1195, 6, 141806, 1, 2
1196, 4, 129293, 1, 2
1197, 6, 195167, 1, 1
1198, 6, 157266, 1, 2
1199, 4, 139012, 1, 2
1230, 6, 176962, 1, 1
1231, 6, 155883, 1, 2
1232, 6, 225434, 1, 1
1233, 6, 158378, 1, 2
1234, 6, 163367, 1, 1
1235, 6, 156724, 1, 2
1236, 6, 167485, 1, 1
1237, 6, 138420, 1, 2
1238, 6, 156685, 1, 1
1239, 6, 130285, 1, 2
1240, 6, 235182, 1, 1
1241, 6, 136848, 1, 2
1242, 6, 309673, 1, 1
1243, 6, 234260, 1, 2
1244, 6, 341512, 1, 1
1245, 6, 225013, 1, 2
1246, 6, 270859, 1, 1
1247, 6, 259859, 1, 2
1248, 6, 227858, 1, 1
1249, 6, 162466, 1, 2
1250, 6, 225975, 1, 1
1251, 6, 155282, 1, 2
1252, 6, 286829, 1, 1
1253, 6, 189055, 1, 2
1254, 6, 314852, 1, 1
1255, 6, 347805, 1, 2
1256, 6, 207831, 1, 1
1257, 6, 149421, 1, 2
1258, 6, 170040, 1, 1
1259, 6, 132029, 1, 2
1320, 6, 188444, 1, 1
1321, 6, 128612, 1, 2
1322, 6, 123372, 1, 2
1323, 6, 121128, 1, 3
1324, 6, 145864, 1, 1
1325, 6, 126437, 1, 2
1326, 6, 128491, 1, 2
1327, 6, 119565, 1, 3
1328, 6, 143039, 1, 1
1329, 6, 151745, 1, 2
1330, 6, 120597, 1, 2
1331, 6, 184357, 1, 3
1332, 6, 166994, 1, 1
1333, 6, 126478, 1, 2
1334, 6, 124814, 1, 2
1335, 6, 128341, 1, 3
1336, 6, 142418, 1, 1
1337, 6, 128812, 1, 2
1338, 6, 122781, 1, 2
1339, 6, 125275, 1, 3
1340, 6, 169929, 1, 1
1341, 6, 142708, 1, 2
1342, 6, 126568, 1, 2
1343, 6, 130045, 1, 3
1344, 6, 223811, 1, 1
1345, 6, 222268, 1, 2
1346, 6, 140374, 1, 2
1347, 6, 138630, 1, 3
1348, 6, 174649, 1, 1
1349, 6, 143450, 1, 2
1350, 6, 132739, 1, 2
1351, 6, 130345, 1, 3
1352, 6, 222499, 1, 1
1353, 6, 139152, 1, 2
1354, 6, 129433, 1, 2
1355, 6, 193284, 1, 3
1356, 6, 418096, 1, 1
1357, 6, 283292, 1, 2
1358, 6, 305123, 1, 2
1359, 6, 246855, 1, 3
1360, 6, 358624, 1, 1
1361, 6, 171703, 1, 2
1362, 6, 211848, 1, 2
1363, 6, 256402, 1, 3
1364, 6, 257064, 1, 1
1365, 6, 180850, 1, 2
1366, 6, 158659, 1, 2
1367, 6, 148248, 1, 3
1368, 6, 286048, 1, 1
1369, 6, 197952, 1, 2
1370, 6, 204224, 1, 2
1371, 6, 268965, 1, 3
1372, 6, 287481, 1, 1
1373, 6, 190358, 1, 2
1374, 6, 158848, 1, 2
1375, 6, 149231, 1, 3
1376, 6, 315974, 1, 1
1377, 6, 204515, 1, 2
1378, 6, 180390, 1, 2
1379, 6, 182192, 1, 3
1425, 6, 567718, 1, 1
1426, 6, 255090, 1, 2
1427, 4, 178937, 1, 2
1428, 6, 266291, 1, 1
1429, 6, 190578, 1, 2
1430, 4, 149562, 1, 2
1431, 6, 293201, 1, 1
1432, 6, 199786, 1, 2
1433, 4, 190498, 1, 2
1434, 6, 367962, 1, 1
1435, 6, 244219, 1, 2
1436, 4, 150262, 1, 2
1437, 6, 342104, 1, 1
1438, 6, 159961, 1, 2
1439, 4, 133150, 1, 2
1440, 6, 223260, 1, 1
1441, 6, 160181, 1, 2
1442, 4, 119424, 1, 2
1443, 6, 357853, 1, 1
1444, 6, 161774, 1, 2
1445, 4, 135976, 1, 2
1446, 6, 290817, 1, 1
1447, 6, 201790, 1, 2
1448, 4, 163608, 1, 2
1449, 6, 247024, 1, 1
1450, 6, 165130, 1, 2
1451, 4, 127540, 1, 2
1452, 6, 243328, 1, 1
1453, 6, 158428, 1, 2
1454, 4, 142108, 1, 2
1455, 6, 324009, 1, 1
1456, 6, 251823, 1, 2
1457, 4, 170561, 1, 2
1458, 6, 340370, 1, 1
1459, 6, 199235, 1, 2
1460, 4, 137820, 1, 2
1461, 6, 413789, 1, 1
1462, 6, 154200, 1, 2
1463, 4, 118753, 1, 2
1464, 6, 185840, 1, 1
1465, 6, 142839, 1, 2
1466, 4, 120947, 1, 2
1467, 6, 260941, 1, 1
1468, 6, 206338, 1, 2
1469, 4, 136056, 1, 2
1515, 6, 255540, 1, 1
1516, 6, 151565, 1, 2
1517, 4, 117681, 1, 2
1518, 6, 196530, 1, 1
1519, 6, 153329, 1, 2
1520, 4, 119384, 1, 2
1521, 6, 196740, 1, 1
1522, 6, 143961, 1, 2
1523, 4, 116489, 1, 2
1524, 6, 153269, 1, 1
1525, 6, 179939, 1, 2
1526, 4, 249981, 1, 2
1527, 6, 201038, 1, 1
1528, 6, 133822, 1, 2
1529, 4, 123753, 1, 2
1530, 6, 174959, 1, 1
1531, 6, 144001, 1, 2
1532, 4, 121488, 1, 2
1533, 6, 219282, 1, 1
1534, 6, 144081, 1, 2
1535, 4, 112782, 1, 2
1536, 6, 221436, 1, 1
1537, 6, 160322, 1, 2
1538, 4, 150222, 1, 2
1539, 6, 241855, 1, 1
1540, 6, 167785, 1, 2
1541, 4, 124063, 1, 2
1542, 6, 280858, 1, 1
1543, 6, 150683, 1, 2
1544, 4, 147047, 1, 2
1545, 6, 408799, 1, 1
1546, 6, 310744, 1, 2
1547, 4, 185749, 1, 2
1548, 6, 313550, 1, 1
1549, 6, 197482, 1, 2
1550, 4, 158688, 1, 2
1551, 6, 290686, 1, 1
1552, 6, 177634, 1, 2
1553, 4, 189466, 1, 2
1554, 6, 342254, 1, 1
1555, 6, 289665, 1, 2
1556, 4, 204675, 1, 2
1557, 6, 284676, 1, 1
1558, 6, 218811, 1, 2
1559, 4, 291558, 1, 2
1635, 6, 193604, 1, 1
1636, 6, 155773, 1, 2
1637, 6, 148720, 1, 2
1638, 4, 127901, 1, 2
1639, 6, 115458, 1, 3
1640, 6, 199826, 1, 1
1641, 6, 141957, 1, 2
1642, 6, 167996, 1, 2
1643, 4, 145584, 1, 2
1644, 6, 134703, 1, 3
1645, 6, 340831, 1, 1
1646, 6, 206458, 1, 2
1647, 6, 179548, 1, 2
1648, 4, 319381, 1, 2
1649, 6, 165260, 1, 3
1650, 6, 308129, 1, 1
1651, 6, 170360, 1, 2
1652, 6, 154531, 1, 2
1653, 4, 146115, 1, 2
1654, 6, 119615, 1, 3
1655, 6, 181832, 1, 1
1656, 6, 152316, 1, 2
1657, 6, 129844, 1, 2
1658, 4, 140865, 1, 2
1659, 6, 133110, 1, 3
1660, 6, 315964, 1, 1
1661, 6, 215104, 1, 2
1662, 6, 171552, 1, 2
1663, 4, 154480, 1, 2
1664, 6, 134403, 1, 3
1665, 6, 249520, 1, 1
1666, 6, 159550, 1, 2
1667, 6, 133811, 1, 2
1668, 4, 139081, 1, 2
1669, 6, 135165, 1, 3
1670, 6, 203703, 1, 1
1671, 6, 167736, 1, 2
1672, 6, 138871, 1, 2
1673, 4, 120316, 1, 2
1674, 6, 112782, 1, 3
1675, 6, 256042, 1, 1
1676, 6, 196569, 1, 2
1677, 6, 166554, 1, 2
1678, 4, 147667, 1, 2
1679, 6, 130395, 1, 3
1680, 6, 272001, 1, 1
1681, 6, 164810, 1, 2
1682, 6, 137258, 1, 2
1683, 4, 163738, 1, 2
1684, 6, 117321, 1, 3
1685, 6, 192812, 1, 1
1686, 6, 162205, 1, 2
1687, 6, 131437, 1, 2
1688, 4, 125787, 1, 2
1689, 6, 112050, 1, 3
1690, 6, 178115, 1, 1
1691, 6, 182764, 1, 2
1692, 6, 186621, 1, 2
1693, 4, 133591, 1, 2
1694, 6, 119675, 1, 3
1695, 6, 256262, 1, 1
1696, 6, 184307, 1, 2
1697, 6, 206589, 1, 2
1698, 4, 149721, 1, 2
1699, 6, 126558, 1, 3
1700, 6, 190198, 1, 1
1701, 6, 154281, 1, 2
1702, 6, 131267, 1, 2
1703, 4, 123282, 1, 2
1704, 6, 115116, 1, 3
1705, 6, 177905, 1, 1
1706, 6, 127299, 1, 2
1707, 6, 3847846, 1, 2
1708, 4, 376287, 1, 2
1709, 6, 217770, 1, 3
1740, 6, 237907, 1, 1
1741, 6, 159871, 1, 2
1742, 6, 254950, 1, 1
1743, 6, 154020, 1, 2
1744, 6, 300155, 1, 1
1745, 6, 176301, 1, 2
1746, 6, 260510, 1, 1
1747, 6, 166373, 1, 2
1748, 6, 342505, 1, 1
1749, 6, 197140, 1, 2
1750, 6, 232517, 1, 1
1751, 6, 151765, 1, 2
1752, 6, 178216, 1, 1
1753, 6, 137549, 1, 2
1754, 6, 252455, 1, 1
1755, 6, 152176, 1, 2
1756, 6, 293412, 1, 1
1757, 6, 173326, 1, 2
1758, 6, 229752, 1, 1
1759, 6, 228099, 1, 2
1760, 6, 189847, 1, 1
1761, 6, 154401, 1, 2
1762, 6, 226356, 1, 1
1763, 6, 158248, 1, 2
1764, 6, 208081, 1, 1
1765, 6, 157747, 1, 2
1766, 6, 216978, 1, 1
1767, 6, 162326, 1, 2
1768, 6, 302018, 1, 1
1769, 6, 171362, 1, 2
1830, 6, 194365, 1, 1
1831, 6, 143751, 1, 2
1832, 6, 125786, 1, 2
1833, 4, 140444, 1, 2
1834, 6, 216326, 1, 1
1835, 6, 141126, 1, 2
1836, 6, 121659, 1, 2
1837, 4, 123812, 1, 2
